compound	dose	no_of_replicates_per_compound	well	median_replicate_correlation	p_value	assay
ketoconazole	3.33 uM	3	L20	0.1665537026927906	0.008	L1000
ketoprofen	3.33 uM	3	O14	0.1637578196080615	0.01	L1000
ketorolac	3.33 uM	3	H08	0.078518614509348	0.131	L1000
ketotifen	3.33 uM	3	C14	0.1058395188058156	0.051	L1000
kpt-330	3.33 uM	3	E14	0.649632418639931	0	L1000
kw-2449	3.33 uM	3	K20	0.4300213277645276	0	L1000
kw-2478	3.33 uM	3	J02	0.3615411572738197	0	L1000
kx2-391	3.33 uM	3	F20	0.5964113673425823	0	L1000
l-citrulline	3.33 uM	3	B20	-0.0193178163822028	0.923	L1000
l-ergothioneine	3.33 uM	3	P02	0.3644363482727651	0.014	L1000
l-name	3.33 uM	3	G02	0.1015271652637007	0.094	L1000
labetalol	3.33 uM	3	N14	0.0277883308408354	0.362	L1000
lacitol	3.33 uM	3	K14	-0.0041079446778497	0.844	L1000
lacosamide	3.33 uM	3	C02	-0.0318506311611295	0.966	L1000
lafutidine	3.33 uM	3	P20	0.0376107437502796	0.361	L1000
lamivudine	3.33 uM	4	N08	0.0464868239595461	0.174	L1000
lamotrigine	3.33 uM	3	E08	0.002160369356929	0.707	L1000
lapatinib	3.33 uM	3	D08	0.0910768051010058	0.085	L1000
lasalocid	3.33 uM	3	P02	0.5408916492146154	0	L1000
latanoprost	3.33 uM	3	N02	0.0521285423215232	0.211	L1000
lcl-161	3.33 uM	3	D02	0.091996310752186	0.113	L1000
ledipasvir	3.33 uM	3	E20	0.0471123597693776	0.25	L1000
leflunomide	3.33 uM	2	M20	0.0609325890498008	0.236	L1000
lenalidomide	3.33 uM	3	N02	0.0768814381515322	0.102	L1000
lenvatinib	3.33 uM	3	G02	0.0345969951721567	0.444	L1000
lerisetron	3.33 uM	3	E14	-0.0032408350122945	0.829	L1000
lersivirine	3.33 uM	4	P08	0.0412194167595641	0.263	L1000
lestaurtinib	3.33 uM	2	G02	0.280776978958921	0.003	L1000
letermovir	3.33 uM	3	L08	0.0717204562146089	0.117	L1000
levalbuterol	3.33 uM	3	L08	0.0730216490407712	0.115	L1000
levamisole	3.33 uM	3	O20	-0.0132941573059053	0.842	L1000
levcromakalim	3.33 uM	2	G02	0.0141994604812849	0.622	L1000
levetiracetam	3.33 uM	3	P08	0.1162100933104446	0.051	L1000
levobunolol	3.33 uM	3	C14	-0.0168135194562923	0.92	L1000
levocabastine	3.33 uM	3	H20	0.0144319502767682	0.556	L1000
levocetirizine	3.33 uM	3	O20	0.0386727813515405	0.329	L1000
levofloxacin	3.33 uM	3	H20	-0.0198346397430773	0.9	L1000
levomequitazine	3.33 uM	3	N02	-0.0240805818426308	0.945	L1000
levonorgestrel	3.33 uM	3	G02	0.0632723921365734	0.236	L1000
levosimendan	3.33 uM	4	N14	0.0402948298865417	0.233	L1000
levothyroxine	3.33 uM	3	H02	0.0570930960525187	0.22	L1000
lgx818	3.33 uM	3	A20	0.1155389588685103	0.038	L1000
licochalcone-a	3.33 uM	3	D08	0.0522716294342668	0.242	L1000
lidamidine	3.33 uM	3	D20	0.1284407492409684	0.019	L1000
lidocaine	3.33 uM	3	F14	0.013938766772801	0.573	L1000
lidoflazine	3.33 uM	3	H02	-0.0247906649414874	0.945	L1000
linezolid	3.33 uM	3	M20	0.1004272135267171	0.05	L1000
linifanib	3.33 uM	3	N14	0.068457326224999	0.12	L1000
linopirdine	3.33 uM	3	K14	0.0231762989097862	0.576	L1000
linsidomine	3.33 uM	3	P08	0.1132883470966607	0.052	L1000
linsitinib	3.33 uM	3	F14	0.1203436888585918	0.027	L1000
liranaftate	3.33 uM	3	N20	0.0389022530044329	0.256	L1000
lisinopril	3.33 uM	3	A14	-0.0215438251753685	0.919	L1000
lisofylline	3.33 uM	3	E14	0.0793720681807154	0.123	L1000
lobenzarit	3.33 uM	3	B14	0.0114696761569669	0.668	L1000
lodoxamide	3.33 uM	3	K14	0.0290700114294418	0.516	L1000
lofexidine	3.33 uM	4	M08	0.0978170082152239	0.049	L1000
lomeguatrib	3.33 uM	3	H08	-0.0146032886521303	0.897	L1000
lomerizine	3.33 uM	3	F14	0.0306917580917004	0.329	L1000
lomitapide	3.33 uM	3	C14	0.1225931546406106	0.03	L1000
lonafarnib	3.33 uM	3	P14	0.1337519548556607	0.009	L1000
lonidamine	3.33 uM	2	N08	0.0801283727709643	0.174	L1000
loperamide	3.33 uM	3	O14	0.0090541904166966	0.686	L1000
lopinavir	3.33 uM	3	P08	0.1002917337646913	0.071	L1000
loratadine	3.33 uM	3	G08	0.1602478697772964	0.012	L1000
lorazepam	3.33 uM	3	B08	-0.0016908767011973	0.819	L1000
lorcaserin	3.33 uM	3	K14	0.0268461662761964	0.544	L1000
lorglumide	3.33 uM	3	F14	0.0534680624962061	0.175	L1000
losmapimod	3.33 uM	3	D02	0.0378882611350652	0.417	L1000
loxoprofen	3.33 uM	3	N08	-0.0217500986756623	0.92	L1000
lucitanib	3.33 uM	3	B14	0.1094264098755786	0.045	L1000
luliconazole	3.33 uM	3	L08	-0.0092087746721576	0.843	L1000
lupanine	3.33 uM	3	D02	0.0040871701244926	0.771	L1000
lurasidone	3.33 uM	3	A14	0.0133821749449109	0.559	L1000
lx1031	3.33 uM	3	D20	0.0185708007157682	0.53	L1000
ly215490	3.33 uM	3	P08	0.0373597657658248	0.369	L1000
ly2228820	3.33 uM	3	G02	0.04507100622952	0.37	L1000
ly2334737	3.33 uM	3	D20	0.016188434530802098	0.557	L1000
ly2784544	3.33 uM	3	M20	0.0904553327761456	0.07	L1000
ly2811376	3.33 uM	3	F14	0.1024916836553507	0.037	L1000
ly2874455	3.33 uM	3	J08	0.2584334245092047	0	L1000
ly2886721	3.33 uM	3	N14	0.0044517065698638	0.655	L1000
macitentan	3.33 uM	3	P02	0.1457788171647101	0.265	L1000
malotilate	3.33 uM	3	P14	0.1068938027346318	0.037	L1000
manumycin-a	3.33 uM	3	M08	0.0206463202514245	0.459	L1000
maprotiline	3.33 uM	3	N20	0.0011046607038872	0.633	L1000
maraviroc	3.33 uM	3	C02	0.0370362105691576	0.342	L1000
maribavir	3.33 uM	2	G08	0.1409895962772302	0.071	L1000
marimastat	3.33 uM	3	F14	0.1102028689682998	0.031	L1000
masitinib	3.33 uM	3	N08	0.1349949042113581	0.011	L1000
masoprocol	3.33 uM	3	G02	0.0111588347024713	0.703	L1000
maxacalcitol	3.33 uM	3	D02	0.0888336801390749	0.121	L1000
mazindol	3.33 uM	3	D14	-0.0467886754007402	0.995	L1000
mbx-2982	3.33 uM	3	L08	0.07073761488761	0.119	L1000
mcpp	3.33 uM	2	G08	0.1172409040813372	0.1	L1000
mebendazole	3.33 uM	3	I02	0.1296166417406022	0.037	L1000
mecamylamine	3.33 uM	3	E02	0.0409286461594928	0.421	L1000
meclofenamic-acid	3.33 uM	3	P02	0.0826751853996197	0.489	L1000
meclozine	3.33 uM	3	E02	0.0843865254352316	0.172	L1000
medroxyprogesterone-acetate	3.33 uM	3	P08	0.1883339500235351	0.013	L1000
medrysone	3.33 uM	3	F02	0.2658310706270685	0	L1000
meglitinide	3.33 uM	3	B20	0.0134743239175436	0.615	L1000
meisoindigo	3.33 uM	3	K02	0.1297500661102956	0.037	L1000
mek162	3.33 uM	3	E14	0.393793200821882	0	L1000
melatonin	3.33 uM	3	J08	0.0157279675812522	0.641	L1000
meloxicam	3.33 uM	2	C02	0.0348380411322212	0.437	L1000
melperone	3.33 uM	3	C14	0.0465473192270803	0.272	L1000
menadione	3.33 uM	3	M08	0.0592734787666032	0.18	L1000
mepacrine	3.33 uM	3	L02	0.0330042001089186	0.325	L1000
mepazine	3.33 uM	3	H02	0.0451936154612613	0.307	L1000
mephentermine	3.33 uM	3	O08	0.0132796003492263	0.691	L1000
mepivacaine	3.33 uM	4	P02	0.080530547621478	0.586	L1000
mepyramine	3.33 uM	3	I14	0.0627595197531426	0.238	L1000
merbarone	3.33 uM	3	I20	0.0257060548870695	0.404	L1000
mericitabine	3.33 uM	3	G08	0.0549798436450457	0.218	L1000
merimepodib	3.33 uM	3	H08	0.0367535995922419	0.405	L1000
mestranol	3.33 uM	3	K20	0.0240402089648291	0.513	L1000
mesulergine	3.33 uM	3	C08	0.1337329151088931	0.022	L1000
metamizole	3.33 uM	2	J08	0.0906962344005199	0.191	L1000
metatinib	3.33 uM	3	P14	0.0668740150144153	0.121	L1000
metenkephalin	3.33 uM	3	N08	0.03071178962678	0.374	L1000
metergoline	3.33 uM	3	I20	0.0142625262878609	0.55	L1000
metformin	3.33 uM	2	P14	0.0249669972884298	0.475	L1000
methazolamide	3.33 uM	3	G20	0.0395469319730005	0.357	L1000
methimazole	3.33 uM	3	J20	0.0648478162700284	0.119	L1000
methiopril	3.33 uM	3	K14	0.0227990013244358	0.583	L1000
methocarbamol	3.33 uM	3	C02	0.0409843265905888	0.314	L1000
methoxsalen	3.33 uM	3	E20	0.0200125400175577	0.534	L1000
methyldopa	3.33 uM	3	M20	-0.0126816868142115	0.867	L1000
methylnaltrexone	3.33 uM	3	J02	0.0368641263212957	0.407	L1000
methylprednisolone	3.33 uM	3	H02	0.4877669046083736	0	L1000
metixene	3.33 uM	3	I02	0.0371116109166007	0.381	L1000
metoclopramide	3.33 uM	3	I20	0.0867672382903022	0.079	L1000
metolazone	3.33 uM	3	M14	0.0553886528070006	0.182	L1000
metoprolol	3.33 uM	3	A14	0.2124201777045229	0	L1000
mf-101	3.33 uM	3	H02	0.0447764587241323	0.307	L1000
mianserin	3.33 uM	3	C08	0.0119600067697414	0.617	L1000
mibampator	3.33 uM	3	N02	0.1424031437113962	0.011	L1000
mibefradil	3.33 uM	3	I08	0.2232421323102298	0	L1000
miconazole	3.33 uM	3	E20	0.1307991718222903	0.019	L1000
midodrine	3.33 uM	3	O08	0.0464737622913535	0.33	L1000
midostaurin	3.33 uM	3	I02	0.320855239027261	0	L1000
mifobate	3.33 uM	3	N14	-0.0215805958586156	0.932	L1000
miglitol	3.33 uM	3	E14	0.1136801460098232	0.044	L1000
milacemide	3.33 uM	3	G20	0.0209184512474688	0.567	L1000
milnacipran	3.33 uM	3	O08	0.0694079961839584	0.167	L1000
milrinone	3.33 uM	3	O14	0.0517057233880704	0.285	L1000
minaprine	3.33 uM	4	K20	0.1014163748046723	0.012	L1000
minoxidil	3.33 uM	3	L08	0.1027444282345735	0.047	L1000
mirodenafil	3.33 uM	3	G20	0.1118186941314685	0.029	L1000
mirtazapine	3.33 uM	3	I14	-0.0122495196686533	0.931	L1000
mitomycin-c	3.33 uM	3	I08	0.4270910356426421	0	L1000
mk-0752	3.33 uM	3	B14	0.1271917450536923	0.033	L1000
mk-0773	3.33 uM	3	E14	0.0837021304114456	0.11	L1000
mk-0812	3.33 uM	3	I20	-0.0161919023161849	0.889	L1000
mk-0893	3.33 uM	3	G02	0.1215961527295803	0.059	L1000
mk-2461	3.33 uM	3	D20	0.0497788106935207	0.24	L1000
mk-3207	3.33 uM	3	N20	0.0547566904043994	0.164	L1000
mk-8033	3.33 uM	3	J08	0.1168452777229924	0.048	L1000
mk-8245	3.33 uM	3	N08	0.0316344228999539	0.356	L1000
mln0128	3.33 uM	3	L02	0.5498924548519739	0	L1000
mln2480	3.33 uM	3	N14	0.0114132515133847	0.562	L1000
mln9708	3.33 uM	3	N08	0.5342240036684806	0	L1000
moclobemide	3.33 uM	3	M08	0.0206449515425437	0.459	L1000
molindone	3.33 uM	3	P08	0.0386021186313732	0.357	L1000
molsidomine	3.33 uM	3	P02	0.0571213029644711	0.615	L1000
moxidectin	3.33 uM	3	N14	-7.372238299392e-4	0.72	L1000
moxifloxacin	3.33 uM	3	N14	-0.0189179619735517	0.907	L1000
moxisylyte	3.33 uM	3	M20	0.0543680319376084	0.184	L1000
mozavaptan	3.33 uM	3	I20	0.013264654380972	0.563	L1000
mycophenolate-mofetil	3.33 uM	3	A08	0.1333979764087339	0.019	L1000
mycophenolic-acid	3.33 uM	3	L08	0.1850323192212353	0.003	L1000
n6022	3.33 uM	3	A08	0.1157721667072137	0.043	L1000
nafamostat	3.33 uM	3	I14	0.0062554577424813	0.806	L1000
naftidrofuryl	3.33 uM	3	A08	0.0285402456900185	0.454	L1000
naftopidil	3.33 uM	4	G20	0.0874406826955402	0.037	L1000
nalbuphine	3.33 uM	3	N02	-0.0029425214584733	0.808	L1000
naphazoline	3.33 uM	3	L20	0.1352321611398216	0.017	L1000
naproxen	3.33 uM	2	F20	0.0244997110552177	0.446	L1000
naringenin	3.33 uM	3	F02	0.046579407669275	0.305	L1000
narlaprevir	3.33 uM	3	K20	0.0617994591774975	0.172	L1000
nateglinide	3.33 uM	3	P20	0.0391915375454165	0.352	L1000
navitoclax	3.33 uM	3	P20	0.0630015946488653	0.18	L1000
nebivolol	3.33 uM	3	D14	0.0922984795145105	0.045	L1000
nefiracetam	3.33 uM	3	K14	0.0837627669638324	0.134	L1000
nefopam	3.33 uM	3	N14	0.0418711108773434	0.244	L1000
nelarabine	3.33 uM	3	D02	0.1600531032446206	0.013	L1000
nemonapride	3.33 uM	3	A08	0.1270136924510029	0.025	L1000
nepafenac	3.33 uM	3	A20	0.050276787360704	0.271	L1000
neratinib	3.33 uM	3	M20	0.1411568155110749	0.009	L1000
nesbuvir	3.33 uM	3	P08	0.0445554668669493	0.286	L1000
netupitant	3.33 uM	3	O08	0.0913307039238259	0.096	L1000
nevirapine	3.33 uM	3	A08	0.0562898619574095	0.235	L1000
niacin	3.33 uM	3	M20	0.0443858084031865	0.257	L1000
nicaraven	3.33 uM	3	O20	0.1274736130264554	0.032	L1000
nicardipine	3.33 uM	3	E20	0.0055176477017883	0.718	L1000
nicergoline	3.33 uM	2	I08	0.0285491534638973	0.529	L1000
nicotinamide	3.33 uM	3	D08	0.0063422296689344	0.692	L1000
nicotine	3.33 uM	3	F14	0.0198142866878821	0.491	L1000
niguldipine	3.33 uM	3	N08	0.0221227389025981	0.476	L1000
nikethamide	3.33 uM	3	M14	0.1512263889833136	0.016	L1000
nilotinib	3.33 uM	3	C14	0.0505976908895972	0.24	L1000
nimesulide	3.33 uM	2	J02	0.1418895345739383	0.09	L1000
nimodipine	3.33 uM	3	G20	0.0388796470011767	0.371	L1000
nintedanib	3.33 uM	3	L02	0.0236564743808569	0.409	L1000
nisoxetine	3.33 uM	3	I20	0.0782491750399123	0.096	L1000
nitrendipine	3.33 uM	3	G20	0.106955061257655	0.038	L1000
nizofenone	3.33 uM	3	I02	0.1413703367002074	0.023	L1000
nms-1286937	3.33 uM	3	I02	0.1956646615692581	0.004	L1000
norethindrone	3.33 uM	3	G08	-0.0040054601102801	0.826	L1000
norethisterone	3.33 uM	3	N14	0.0529628362314477	0.179	L1000
norfloxacin	3.33 uM	3	O08	0.1043453434504053	0.067	L1000
norgestrel	3.33 uM	3	M02	0.1157014044628815	0.03	L1000
nortriptyline	3.33 uM	3	J08	0.2304210851420838	0	L1000
noscapine	3.33 uM	3	F20	0.0604188287642593	0.112	L1000
novobiocin	3.33 uM	3	N02	0.1234293054038653	0.021	L1000
nsi-189	3.33 uM	2	D20	0.0735146961917077	0.215	L1000
nutlin-3	3.33 uM	3	A20	0.2395777052830087	0.002	L1000
nvp-dpp728	3.33 uM	2	J20	0.0413134070213713	0.306	L1000
nxy-059	3.33 uM	3	E02	0.0732828076607823	0.215	L1000
o6-benzylguanine	3.33 uM	3	L14	0.0107388526193378	0.601	L1000
odanacatib	3.33 uM	3	H20	0.0518232297536606	0.212	L1000
ofloxacin	3.33 uM	3	N02	0.0375358516903903	0.342	L1000
oglemilast	3.33 uM	3	B08	0.0891816613253033	0.084	L1000
olaparib	3.33 uM	3	I08	0.1538429267123658	0.005	L1000
olmesartan	3.33 uM	2	M08	0.109631504797364	0.127	L1000
omecamtiv-mecarbil	3.33 uM	3	O20	0.1122463684324792	0.049	L1000
omeprazole	3.33 uM	3	B08	0.0235799826536211	0.509	L1000
ondansetron	3.33 uM	3	C14	0.0147918870266094	0.604	L1000
oprozomib	3.33 uM	3	O08	0.5766382187605477	0	L1000
orantinib	3.33 uM	3	A14	0.0948499662520717	0.046	L1000
ore1001	3.33 uM	3	L20	0.0339663443723067	0.409	L1000
org-9768	3.33 uM	3	I14	-0.0109610817632472	0.926	L1000
orlistat	3.33 uM	2	F14	0.0428701854315228	0.298	L1000
orphenadrine	3.33 uM	3	H20	0.0092351426940742	0.634	L1000
orteronel	3.33 uM	4	E02	0.0740644479686774	0.181	L1000
oseltamivir-carboxylate	3.33 uM	3	E02	0.1730850192019877	0.011	L1000
ostarine	3.33 uM	3	N20	0.0795918294481063	0.095	L1000
otamixaban	3.33 uM	3	G08	0.155485321631671	0.013	L1000
otilonium	3.33 uM	3	M08	0.161398750040202	0.008	L1000
ots167	3.33 uM	3	O08	0.7452958094800833	0	L1000
oxandrolone	3.33 uM	3	B14	0.0781699578676276	0.121	L1000
oxaprozin	3.33 uM	3	B20	0.1092673920176775	0.054	L1000
oxatomide	3.33 uM	4	J02	0.0332649226162795	0.466	L1000
oxfendazole	3.33 uM	3	G20	0.0525503656013937	0.238	L1000
oxiconazole	3.33 uM	3	C02	0.0281230506832616	0.446	L1000
oxiperomide	3.33 uM	2	K20	0.0688844840011382	0.228	L1000
oxybenzone	3.33 uM	3	J20	0.0567913897971377	0.146	L1000
oxybuprocaine	3.33 uM	3	N20	0.0181468188034786	0.435	L1000
oxybutynin	3.33 uM	3	I20	0.0558836684853488	0.186	L1000
oxymetazoline	3.33 uM	3	D14	-0.0133306326408631	0.883	L1000
oxypurinol	3.33 uM	3	D14	-0.0066492286823164	0.813	L1000
ozagrel	3.33 uM	3	G02	0.1732010444186552	0.012	L1000
pa-824	3.33 uM	3	M02	0.1121006614517893	0.035	L1000
paclitaxel	3.33 uM	3	H20	0.448696657997252	0	L1000
palbociclib	3.33 uM	3	A20	0.5066081537656475	0	L1000
palmitoylethanolamide	3.33 uM	3	B20	0.0212235843757912	0.523	L1000
palomid-529	3.33 uM	3	B20	0.0175521776466501	0.574	L1000
palonosetron	3.33 uM	3	E14	0.0490073546884206	0.283	L1000
palovarotene	3.33 uM	3	I08	0.1826637912005531	0	L1000
papaverine	3.33 uM	3	A14	-0.0011402291039185	0.737	L1000
paracetamol	3.33 uM	3	J20	-0.0245322631153285	0.959	L1000
paroxetine	3.33 uM	3	D14	0.0619646282657467	0.135	L1000
pasireotide	3.33 uM	3	N02	0.0730889220866662	0.116	L1000
pazopanib	3.33 uM	3	I02	0.0797591275682162	0.134	L1000
pazufloxacin	3.33 uM	3	M08	-0.0073422714530816	0.832	L1000
pd123319	3.33 uM	3	L14	0.0721698573072489	0.145	L1000
pd153035	3.33 uM	2	E02	0.0102319161882781	0.693	L1000
pelitinib	3.33 uM	3	E02	0.2036960603403921	0.004	L1000
pemirolast	3.33 uM	3	C08	0.1210050127305793	0.031	L1000
penfluridol	3.33 uM	3	P14	0.0706906897762469	0.111	L1000
penicillin-v-potassium	3.33 uM	3	P08	0.0201381350695283	0.559	L1000
pentamidine	3.33 uM	3	G08	0.3557404709523103	0	L1000
pentoxifylline	3.33 uM	3	G08	0.0928070712309799	0.075	L1000
perhexiline	3.33 uM	3	D14	0.1331547037427201	0.014	L1000
pf-02545920	3.33 uM	3	K20	0.0773651884763906	0.109	L1000
pf-03084014	3.33 uM	3	P20	0.1026017354963009	0.041	L1000
pf-03758309	3.33 uM	3	K14	0.2276416892650545	0.004	L1000
pf-03814735	3.33 uM	3	E02	0.3981613160016408	0	L1000
pf-04136309	3.33 uM	3	H20	0.005002498053802	0.684	L1000
pf-04447943	3.33 uM	3	N20	0.090692180770878	0.07	L1000
pf-04457845	3.33 uM	3	P14	0.0660438726122264	0.124	L1000
pf-04620110	3.33 uM	3	J08	0.0100932704148401	0.708	L1000
pf-04691502	3.33 uM	3	N08	0.5639195625484652	0	L1000
ph-797804	3.33 uM	3	H02	0.0791754972663873	0.135	L1000
pha-848125	3.33 uM	3	J02	0.2530773965620368	0	L1000
phenazone	3.33 uM	3	K20	0.012962377015555	0.659	L1000
phenformin	3.33 uM	3	P14	0.1034797427605674	0.039	L1000
phensuximide	3.33 uM	3	M20	0.0219141743932848	0.485	L1000
phentermine	3.33 uM	3	G08	0.086827383147922	0.092	L1000
phentolamine	3.33 uM	3	E20	0.1248228836035774	0.025	L1000
phenylacetylglutamine	3.33 uM	3	I20	-0.0159877218823657	0.889	L1000
phenylbutazone	3.33 uM	3	K14	0.0572857348579859	0.242	L1000
phenylbutyrate	3.33 uM	3	B14	0.0104749596015216	0.678	L1000
phenylephrine	3.33 uM	3	O20	0.0632979581077368	0.154	L1000
phenytoin	3.33 uM	3	B20	0.0112413685477725	0.632	L1000
physostigmine	3.33 uM	3	C02	0.0703215072919607	0.152	L1000
pibenzimol	3.33 uM	3	I02	0.068489027192761	0.184	L1000
piclamilast	3.33 uM	3	G20	0.0922493372661512	0.054	L1000
picolinic-acid	3.33 uM	4	E14	0.014338006747953	0.682	L1000
picotamide	3.33 uM	3	P14	0.0720311624496967	0.104	L1000
piketoprofen	3.33 uM	3	N14	0.0275825700397696	0.363	L1000
pilaralisib	3.33 uM	3	O14	0.0713368390543953	0.169	L1000
pilocarpine	3.33 uM	3	E02	0.001365614835013	0.783	L1000
pimavanserin	3.33 uM	3	A20	0.0415462365277059	0.329	L1000
pimecrolimus	3.33 uM	3	B08	0.0612594927941947	0.187	L1000
pimobendan	3.33 uM	3	D08	0.0133545328906485	0.6	L1000
pimozide	3.33 uM	4	F20	0.0722123212198847	0.037	L1000
pinacidil	3.33 uM	3	P02	-0.0165107791711359	0.96	L1000
pinaverium	3.33 uM	3	L02	0.0142008510071997	0.551	L1000
pinitol	3.33 uM	3	E14	0.0710741003600434	0.157	L1000
pioglitazone	3.33 uM	3	D14	0.0489163030864246	0.19	L1000
piperidolate	3.33 uM	3	O20	-0.0473409034802355	0.984	L1000
pirenoxine	3.33 uM	3	L02	0.0189990663382814	0.472	L1000
pirenzepine	3.33 uM	3	F20	0.0023701797224976	0.695	L1000
pirfenidone	3.33 uM	3	M14	0.0857654699671827	0.08	L1000
piribedil	3.33 uM	3	N08	0.0403138287546518	0.281	L1000
piroxicam	3.33 uM	3	D20	0.0813503520696101	0.076	L1000
pitavastatin	3.33 uM	3	A14	0.0960524306615176	0.045	L1000
pki-179	3.33 uM	3	I02	0.490176757665698	0	L1000
podophyllotoxin	3.33 uM	3	N02	0.2546059999269493	0	L1000
pomalidomide	3.33 uM	3	E14	0.0964972007826962	0.071	L1000
pramipexole	3.33 uM	3	I08	0.0408605938777367	0.385	L1000
pranlukast	3.33 uM	3	N20	-0.0783208311947762	0.993	L1000
pravastatin	3.33 uM	3	J20	0.0163373672027315	0.516	L1000
prazosin	3.33 uM	3	D20	0.1279983477029803	0.019	L1000
prednisone	3.33 uM	3	C02	0.0274210403795026	0.452	L1000
preladenant	3.33 uM	3	E08	0.0807380802546098	0.098	L1000
primaquine	3.33 uM	3	A20	0.0434770664071555	0.316	L1000
primidone	3.33 uM	3	E02	0.0449457510424106	0.381	L1000
pritelivir	3.33 uM	3	A14	0.1013702157575084	0.036	L1000
probenecid	3.33 uM	3	J08	0.0708246084901891	0.183	L1000
probucol	3.33 uM	3	M14	0.0172088781630878	0.535	L1000
procainamide	3.33 uM	2	F14	0.0076433500716363	0.594	L1000
prochlorperazine	3.33 uM	3	C02	0.2183766392581524	0.002	L1000
progesterone	3.33 uM	3	O20	0.0685807481011065	0.131	L1000
proglumide	3.33 uM	3	B08	0.031716422037409	0.409	L1000
proguanil	3.33 uM	3	G20	0.0340636543848892	0.418	L1000
propafenone	3.33 uM	3	D20	0.0285098354566272	0.427	L1000
propentofylline	3.33 uM	3	K02	0.0843692572385365	0.15	L1000
propranolol	3.33 uM	3	L02	0.0432802799413295	0.249	L1000
protirelin	3.33 uM	3	H20	0.0479432690475713	0.234	L1000
protriptyline	3.33 uM	3	L02	0.0454461846834341	0.22	L1000
prx-08066	3.33 uM	3	H02	-0.0484774446587906	0.985	L1000
psi-6130	3.33 uM	3	P14	0.0853007700859204	0.077	L1000
pterostilbene	3.33 uM	3	B08	0.0460853601492986	0.279	L1000
pyrazinamide	3.33 uM	3	J08	0.0501282459198739	0.294	L1000
pyrazinoylguanidine	3.33 uM	3	P14	-0.0026158283473726	0.79	L1000
quercetin	3.33 uM	3	P02	0.2220828961706406	0.137	L1000
quetiapine	3.33 uM	3	E02	0.0072376597091046	0.731	L1000
quiflapon	3.33 uM	3	M20	0.0669624950350688	0.128	L1000
quinapril	3.33 uM	3	I14	0.0894411308806683	0.129	L1000
quinidine	3.33 uM	3	M02	0.0704636443493403	0.138	L1000
quinidine	3.33 uM	3	P02	0.0704636443493403	0.531	L1000
quizartinib	3.33 uM	3	G02	-0.0205508244315204	0.948	L1000
r-428	3.33 uM	3	L20	0.1088682935604981	0.046	L1000
r547	3.33 uM	3	E02	0.6197179011735128	0	L1000
rabeprazole	3.33 uM	3	M14	0.1486999289567329	0.016	L1000
racecadotril	3.33 uM	3	B20	0.1318385484045754	0.031	L1000
raclopride	3.33 uM	3	B14	0.025431978649937	0.492	L1000
radezolid	3.33 uM	3	K02	0.1159450940106705	0.05	L1000
raf265	3.33 uM	3	C02	0.143734504221255	0.018	L1000
raloxifene	3.33 uM	3	H08	0.0572257552819544	0.222	L1000
raltegravir	3.33 uM	4	N20	0.0398344082161151	0.216	L1000
ramatroban	3.33 uM	3	D14	0.0271326724949717	0.398	L1000
ramelteon	3.33 uM	3	I20	-0.0271697460172591	0.943	L1000
ramipril	3.33 uM	3	E20	0.050028389837583	0.231	L1000
ranitidine	3.33 uM	3	I08	0.0725224464937459	0.142	L1000
ranolazine	3.33 uM	3	J20	0.0816785479305401	0.062	L1000
rasagiline	3.33 uM	3	H20	0.0088137421442184	0.637	L1000
rebamipide	3.33 uM	3	A20	0.0530637813979464	0.26	L1000
reboxetine	3.33 uM	3	F20	0.0275167257207715	0.345	L1000
refametinib	3.33 uM	3	F02	0.2579342593764328	0	L1000
regadenoson	3.33 uM	2	M02	0.0430923665956856	0.364	L1000
regorafenib	3.33 uM	3	F20	0.0318749766399722	0.309	L1000
relcovaptan	3.33 uM	3	N02	0.0156343890708904	0.579	L1000
repaglinide	3.33 uM	3	H08	0.0800953945229968	0.121	L1000
reparixin	3.33 uM	3	E08	0.0653077021929749	0.135	L1000
resatorvid	3.33 uM	3	P20	-0.0095209656877261	0.854	L1000
reserpine	3.33 uM	3	L02	0.0050710218708499	0.668	L1000
resiquimod	3.33 uM	3	K02	0.1365276853264835	0.032	L1000
resminostat	3.33 uM	3	C08	0.6601709775292758	0	L1000
resveratrol	3.33 uM	2	N20	-0.0588380353186699	0.959	L1000
retapamulin	3.33 uM	3	N08	0.0456507625596469	0.247	L1000
retigabine	3.33 uM	3	H02	0.1294385758119482	0.036	L1000
rg-7388	3.33 uM	3	C08	0.5443406211277201	0	L1000
rg2833	3.33 uM	4	L02	0.0786895730956152	0.043	L1000
rg4733	3.33 uM	3	H02	0.0529811013823781	0.243	L1000
ribavirin	3.33 uM	3	G20	0.0832739852002756	0.073	L1000
rifabutin	3.33 uM	3	G02	0.0382751021259164	0.413	L1000
rifaximin	3.33 uM	3	E20	0.0474017221753425	0.249	L1000
rilmenidine	3.33 uM	3	N20	0.0048745460848157	0.592	L1000
rilpivirine	3.33 uM	3	H20	0.0083664319533009	0.643	L1000
rimantadine	3.33 uM	3	I14	0.1241661382322202	0.054	L1000
rimcazole	3.33 uM	3	J02	0.0571919973679125	0.261	L1000
rimexolone	3.33 uM	3	D02	0.3370648965368784	0	L1000
rimonabant	3.33 uM	3	H14	0.0066767596354324	0.712	L1000
riociguat	3.33 uM	3	L08	0.0756551874114724	0.096	L1000
